account,balance_t,total,total_1,total_13,total_35,total_5,is_in,type
61852408,"[147, 44, 103, 0, 0]",147,44,103,0,0,True,1
61888278,"[147, 33, 70, 44, 0]",147,33,70,44,0,True,1
62089688,"[147, 100, 20, 21, 6]",147,100,20,21,6,True,0
66096058,"[45, 45, 0, 0, 0]",45,45,0,0,0,True,0
67854928,"[147, 0, 100, 40, 7]",147,0,100,40,7,True,1
69844118,"[147, 0, 62, 85, 0]",147,0,62,85,0,True,2
67001128,"[60, 57, 3, 0, 0]",60,57,3,0,0,True,0
65027298,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
69842208,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
65026898,"[147, 0, 87, 60, 0]",147,0,87,60,0,True,1
60801488,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
61858758,"[147, 146, 1, 0, 0]",147,146,1,0,0,True,0
63066598,"[147, 105, 42, 0, 0]",147,105,42,0,0,True,0
62076918,"[133, 107, 0, 0, 26]",133,107,0,0,26,True,0
66008688,"[147, 0, 93, 54, 0]",147,0,93,54,0,True,1
66029008,"[132, 23, 108, 1, 0]",132,23,108,1,0,True,1
66050278,"[135, 0, 134, 1, 0]",135,0,134,1,0,True,1
61849378,"[147, 0, 0, 138, 9]",147,0,0,138,9,True,2
60817868,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
62099568,"[133, 74, 0, 0, 59]",133,74,0,0,59,True,0
61856228,"[49, 0, 49, 0, 0]",49,0,49,0,0,True,1
66087298,"[74, 20, 54, 0, 0]",74,20,54,0,0,True,1
65052918,"[147, 1, 0, 0, 146]",147,1,0,0,146,True,3
61890478,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
60827488,"[147, 140, 7, 0, 0]",147,140,7,0,0,True,0
63018958,"[147, 60, 0, 0, 87]",147,60,0,0,87,True,3
69877818,"[147, 45, 102, 0, 0]",147,45,102,0,0,True,1
69852068,"[147, 46, 58, 42, 1]",147,46,58,42,1,True,1
65011128,"[147, 108, 39, 0, 0]",147,108,39,0,0,True,0
66027058,"[139, 48, 89, 0, 2]",139,48,89,0,2,True,1
66026558,"[120, 120, 0, 0, 0]",120,120,0,0,0,True,0
61870558,"[147, 57, 90, 0, 0]",147,57,90,0,0,True,1
61823528,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
60005018,"[147, 46, 81, 20, 0]",147,46,81,20,0,True,1
63099538,"[147, 43, 103, 1, 0]",147,43,103,1,0,True,1
61859408,"[147, 0, 145, 2, 0]",147,0,145,2,0,True,1
60818388,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
65026068,"[147, 75, 72, 0, 0]",147,75,72,0,0,True,0
66070298,"[121, 0, 121, 0, 0]",121,0,121,0,0,True,1
62085918,"[147, 42, 105, 0, 0]",147,42,105,0,0,True,1
61820108,"[147, 0, 146, 1, 0]",147,0,146,1,0,True,1
63022618,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
69878118,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
66029288,"[101, 27, 74, 0, 0]",101,27,74,0,0,True,1
61825588,"[147, 1, 102, 42, 2]",147,1,102,42,2,True,1
61878298,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
62055708,"[147, 48, 42, 1, 56]",147,48,42,1,56,True,3
60001678,"[147, 116, 31, 0, 0]",147,116,31,0,0,True,0
63096168,"[62, 46, 0, 0, 16]",62,46,0,0,16,True,0
61826588,"[147, 0, 46, 101, 0]",147,0,46,101,0,True,2
61852098,"[147, 0, 44, 103, 0]",147,0,44,103,0,True,2
62051238,"[147, 46, 101, 0, 0]",147,46,101,0,0,True,1
63062868,"[147, 0, 46, 77, 24]",147,0,46,77,24,True,2
66017208,"[145, 46, 0, 1, 98]",145,46,0,1,98,True,3
66069278,"[123, 46, 31, 0, 46]",123,46,31,0,46,True,0
69837288,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
63077138,"[147, 97, 50, 0, 0]",147,97,50,0,0,True,0
62077198,"[147, 84, 25, 38, 0]",147,84,25,38,0,True,0
63001018,"[147, 67, 80, 0, 0]",147,67,80,0,0,True,1
69866508,"[147, 104, 43, 0, 0]",147,104,43,0,0,True,0
63086298,"[147, 76, 71, 0, 0]",147,76,71,0,0,True,0
61878508,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
61844618,"[147, 0, 142, 5, 0]",147,0,142,5,0,True,1
61828178,"[147, 12, 135, 0, 0]",147,12,135,0,0,True,1
61828518,"[147, 135, 12, 0, 0]",147,135,12,0,0,True,0
62080528,"[147, 0, 48, 59, 40]",147,0,48,59,40,True,2
65029898,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61835378,"[147, 0, 47, 100, 0]",147,0,47,100,0,True,2
66080958,"[115, 66, 47, 2, 0]",115,66,47,2,0,True,0
61840028,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
60815228,"[147, 48, 99, 0, 0]",147,48,99,0,0,True,1
61825868,"[147, 1, 144, 1, 1]",147,1,144,1,1,True,1
65020258,"[147, 74, 73, 0, 0]",147,74,73,0,0,True,0
69895628,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
66060728,"[129, 0, 129, 0, 0]",129,0,129,0,0,True,1
65018638,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
63077178,"[147, 48, 99, 0, 0]",147,48,99,0,0,True,1
69850428,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
67008858,"[49, 0, 47, 0, 2]",49,0,47,0,2,True,1
65029268,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61865188,"[147, 0, 0, 47, 100]",147,0,0,47,100,True,3
65002878,"[147, 145, 2, 0, 0]",147,145,2,0,0,True,0
61849518,"[147, 47, 0, 100, 0]",147,47,0,100,0,True,2
63095638,"[147, 47, 0, 0, 100]",147,47,0,0,100,True,3
65017288,"[147, 108, 39, 0, 0]",147,108,39,0,0,True,0
65082258,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
69896658,"[147, 0, 146, 1, 0]",147,0,146,1,0,True,1
66021788,"[140, 35, 105, 0, 0]",140,35,105,0,0,True,1
65058968,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
65075728,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
65056518,"[122, 43, 79, 0, 0]",122,43,79,0,0,True,1
66091108,"[93, 2, 91, 0, 0]",93,2,91,0,0,True,1
66075228,"[120, 120, 0, 0, 0]",120,120,0,0,0,True,0
65011508,"[147, 3, 144, 0, 0]",147,3,144,0,0,True,1
62021138,"[120, 106, 0, 0, 14]",120,106,0,0,14,True,0
60813408,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
62097688,"[147, 95, 52, 0, 0]",147,95,52,0,0,True,0
63098198,"[147, 33, 112, 2, 0]",147,33,112,2,0,True,1
62067508,"[147, 145, 2, 0, 0]",147,145,2,0,0,True,0
61802878,"[147, 9, 138, 0, 0]",147,9,138,0,0,True,1
65001858,"[125, 0, 1, 0, 124]",125,0,1,0,124,True,3
61858718,"[147, 0, 8, 82, 57]",147,0,8,82,57,True,2
69885298,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
61828108,"[147, 9, 138, 0, 0]",147,9,138,0,0,True,1
61830558,"[147, 18, 129, 0, 0]",147,18,129,0,0,True,1
63089518,"[147, 0, 0, 147, 0]",147,0,0,147,0,True,2
60815078,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
69885328,"[147, 48, 99, 0, 0]",147,48,99,0,0,True,1
61873468,"[147, 0, 38, 107, 2]",147,0,38,107,2,True,2
61821368,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
61851528,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
63071918,"[147, 26, 49, 8, 64]",147,26,49,8,64,True,3
69830188,"[147, 84, 63, 0, 0]",147,84,63,0,0,True,0
62088818,"[147, 33, 114, 0, 0]",147,33,114,0,0,True,1
60005078,"[120, 38, 82, 0, 0]",120,38,82,0,0,True,1
61859808,"[147, 80, 62, 5, 0]",147,80,62,5,0,True,0
61862008,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
69873628,"[147, 133, 14, 0, 0]",147,133,14,0,0,True,0
67006218,"[50, 50, 0, 0, 0]",50,50,0,0,0,True,0
63095268,"[142, 10, 121, 11, 0]",142,10,121,11,0,True,1
60824968,"[147, 85, 62, 0, 0]",147,85,62,0,0,True,0
66080668,"[114, 23, 91, 0, 0]",114,23,91,0,0,True,1
61871668,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
61876818,"[147, 0, 49, 98, 0]",147,0,49,98,0,True,2
66018778,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
65028108,"[147, 0, 146, 1, 0]",147,0,146,1,0,True,1
63075598,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
63055098,"[147, 1, 145, 1, 0]",147,1,145,1,0,True,1
66067668,"[123, 4, 118, 1, 0]",123,4,118,1,0,True,1
63057808,"[147, 0, 145, 2, 0]",147,0,145,2,0,True,1
65010218,"[147, 53, 94, 0, 0]",147,53,94,0,0,True,1
61871328,"[147, 76, 71, 0, 0]",147,76,71,0,0,True,0
66097078,"[74, 52, 22, 0, 0]",74,52,22,0,0,True,0
66021278,"[123, 49, 74, 0, 0]",123,49,74,0,0,True,1
61848698,"[124, 80, 44, 0, 0]",124,80,44,0,0,True,0
63015618,"[147, 0, 137, 10, 0]",147,0,137,10,0,True,1
63065598,"[147, 135, 12, 0, 0]",147,135,12,0,0,True,0
65012138,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61874708,"[147, 28, 50, 0, 69]",147,28,50,0,69,True,3
66068178,"[128, 8, 64, 56, 0]",128,8,64,56,0,True,1
62092658,"[147, 94, 53, 0, 0]",147,94,53,0,0,True,0
63082608,"[130, 0, 3, 18, 109]",130,0,3,18,109,True,3
61847878,"[147, 50, 97, 0, 0]",147,50,97,0,0,True,1
65057298,"[147, 59, 70, 18, 0]",147,59,70,18,0,True,1
62072578,"[147, 0, 13, 134, 0]",147,0,13,134,0,True,2
67000228,"[62, 54, 8, 0, 0]",62,54,8,0,0,True,0
61840198,"[147, 50, 0, 95, 2]",147,50,0,95,2,True,2
66097038,"[69, 53, 9, 0, 7]",69,53,9,0,7,True,0
63085128,"[147, 0, 10, 137, 0]",147,0,10,137,0,True,2
66065208,"[124, 51, 34, 39, 0]",124,51,34,39,0,True,0
61805768,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
69895688,"[147, 0, 39, 106, 2]",147,0,39,106,2,True,2
61852658,"[147, 51, 65, 31, 0]",147,51,65,31,0,True,1
66076118,"[121, 50, 71, 0, 0]",121,50,71,0,0,True,1
61847428,"[147, 42, 40, 29, 36]",147,42,40,29,36,True,0
65009998,"[139, 21, 118, 0, 0]",139,21,118,0,0,True,1
66017638,"[147, 25, 122, 0, 0]",147,25,122,0,0,True,1
61879268,"[147, 14, 133, 0, 0]",147,14,133,0,0,True,1
65026008,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
66058078,"[132, 52, 80, 0, 0]",132,52,80,0,0,True,1
61858358,"[147, 0, 97, 50, 0]",147,0,97,50,0,True,1
63098778,"[147, 0, 1, 1, 145]",147,0,1,1,145,True,3
61806908,"[147, 51, 0, 0, 96]",147,51,0,0,96,True,3
61829228,"[147, 0, 0, 21, 126]",147,0,0,21,126,True,3
63069938,"[147, 0, 1, 51, 95]",147,0,1,51,95,True,3
61895368,"[147, 51, 96, 0, 0]",147,51,96,0,0,True,1
61847168,"[147, 58, 65, 4, 20]",147,58,65,4,20,True,1
66021178,"[135, 0, 1, 0, 134]",135,0,1,0,134,True,3
67809918,"[147, 74, 72, 1, 0]",147,74,72,1,0,True,0
60807718,"[147, 22, 125, 0, 0]",147,22,125,0,0,True,1
66082628,"[60, 26, 34, 0, 0]",60,26,34,0,0,True,1
62087038,"[147, 75, 72, 0, 0]",147,75,72,0,0,True,0
60010538,"[107, 44, 7, 51, 5]",107,44,7,51,5,True,2
61817698,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
67809158,"[147, 53, 0, 92, 2]",147,53,0,92,2,True,2
65058018,"[147, 62, 64, 14, 7]",147,62,64,14,7,True,1
61849118,"[147, 1, 44, 2, 100]",147,1,44,2,100,True,3
61889758,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
69856158,"[147, 0, 123, 24, 0]",147,0,123,24,0,True,1
63002618,"[147, 0, 1, 145, 1]",147,0,1,145,1,True,2
62092798,"[147, 74, 70, 3, 0]",147,74,70,3,0,True,0
65009518,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
69873808,"[147, 5, 142, 0, 0]",147,5,142,0,0,True,1
