account_id,process_date,amount,amount_after,amount_befor
63066908,2019-12-24,10008.0,24924.74,34932.740000000005
69828818,2019-12-24,4000.0,10845.17,14845.17
61807178,2019-12-24,36900.0,28244.05,65144.05
69828728,2019-12-24,4000.0,9943.24,13943.24
66099698,2019-12-24,2000.0,12064.12,14064.12
90788881,2019-12-24,481.67,71247.04,71728.70999999999
67005588,2019-12-24,1300000.0,7724984.1,9024984.1
61865988,2019-12-24,2028.43,8689.85,10718.28
69841598,2019-12-24,8400.0,2313.43,10713.43
67055968,2019-12-24,1173.71,10930.0,12103.71
65021858,2019-12-24,20000.0,19568.24,39568.240000000005
67005588,2019-12-24,10.0,7724984.1,7724994.1
66061978,2019-12-24,8000.0,10260.42,18260.42
66055038,2019-12-24,4467.15,0.0,4467.15
61804528,2019-12-24,5000.0,25185.14,30185.14
67066228,2019-12-24,3000.0,26505.68,29505.68
66070678,2019-12-24,20008.0,13101.58,33109.58
60818128,2019-12-24,20000.0,19832.85,39832.85
67080928,2019-12-24,2700.0,7295.0,9995.0
67065028,2019-12-24,5700.0,2426.21,8126.21
66080588,2019-12-24,2000.0,14872.68,16872.68
65025158,2019-12-24,1648.49,15000.77,16649.260000000002
66021688,2019-12-24,6100.0,2044.45,8144.45
60817018,2019-12-24,12051.32,0.0,12051.32
62890808,2019-12-24,2000.0,1919.29,3919.29
61802778,2019-12-24,3000.0,20288.37,23288.37
66080708,2019-12-24,6000.0,3394.89,9394.89
62846668,2019-12-24,50000.0,74353.18,124353.18
61804528,2019-12-24,5000.0,25185.14,30185.14
61824028,2019-12-24,2000.0,10014.21,12014.21
60802098,2019-12-24,10400.0,13107.54,23507.54
66069698,2019-12-24,20000.0,17098.63,37098.630000000005
61803378,2019-12-24,3000.0,10033.43,13033.43
61847778,2019-12-24,7000.0,10274.5,17274.5
60812388,2019-12-24,10500.0,13113.7,23613.7
67020798,2019-12-24,6000.0,5850.77,11850.77
67061228,2019-12-24,3000.0,15013.2,18013.2
69843578,2019-12-24,5000.0,17779.58,22779.58
61877028,2019-12-24,26000.0,26259.45,52259.45
67077168,2019-12-24,2300.0,10855.24,13155.24
66076818,2019-12-24,2000.0,15290.3,17290.3
65018218,2019-12-24,5498.48,12487.99,17986.47
66028918,2019-12-24,2010.0,91355.54,93365.54
61881008,2019-12-24,4200.0,15028.31,19228.309999999998
60811618,2019-12-24,4500.0,12907.97,17407.97
61825688,2019-12-24,3000.0,10512.43,13512.43
66029928,2019-12-24,10000.0,10151.14,20151.14
67022658,2019-12-24,5000.0,37140.66,42140.66
69809658,2019-12-24,5000.0,17325.0,22325.0
66066128,2019-12-24,1400.0,29948.09,31348.09
65027678,2019-12-24,5046.0,20000.18,25046.18
61884608,2019-12-24,5970.0,10004.57,15974.57
60826628,2019-12-24,5000.0,24880.42,29880.42
63000188,2019-12-24,15000.0,32864.39,47864.39
66081998,2019-12-24,11695.0,8696.79,20391.79
67010508,2019-12-24,3400.0,30093.59,33493.59
61854898,2019-12-24,8000.0,5727.06,13727.060000000001
61806358,2019-12-24,10000.0,11374.0,21374.0
67057108,2019-12-24,3500.0,464.1,3964.1
66071128,2019-12-24,40000.0,64712.67,104712.67
65027798,2019-12-24,6800.0,15692.91,22492.91
69822618,2019-12-24,6200.0,15058.93,21258.93
61804158,2019-12-24,40000.0,33217.4,73217.4
61843268,2019-12-24,11600.0,3693.31,15293.31
63009538,2019-12-24,1767.03,59609.97,61377.0
68840078,2019-12-24,27238.82,0.0,27238.82
62095088,2019-12-24,50.0,0.0,50.0
62095088,2019-12-24,26616.56,0.0,26616.56
61822298,2019-12-23,15000.0,35751.94,50751.94
67006898,2019-12-23,3632.87,17976.54,21609.41
66098088,2019-12-23,2500.0,10706.04,13206.04
62021168,2019-12-23,6100.0,58.2,6158.2
67011058,2019-12-23,1800.0,20433.32,22233.32
60018138,2019-12-23,10000.0,18928.56,28928.56
67001088,2019-12-23,13836.42,21403.73,35240.15
67021758,2019-12-23,2600.0,20041.47,22641.47
61860498,2019-12-23,10500.0,10977.05,21477.05
66097058,2019-12-23,18139.0,19998.8,38137.8
67844488,2019-12-23,13000.0,25474.95,38474.95
61848988,2019-12-23,3000.0,5879.05,8879.05
67008538,2019-12-23,11999.8,12623.09,24622.89
66055988,2019-12-23,17000.0,4802.62,21802.62
66061508,2019-12-23,10000.0,36987.16,46987.16
61802828,2019-12-23,10000.0,16760.6,26760.6
69813468,2019-12-23,8100.0,4482.47,12582.470000000001
61853978,2019-12-23,12000.0,19920.99,31920.99
66087908,2019-12-23,2000.0,5820.06,7820.06
66077298,2019-12-23,9600.0,6180.32,15780.32
65059508,2019-12-23,5000.0,31873.44,36873.44
66061238,2019-12-23,10000.0,35506.28,45506.28
61887958,2019-12-23,3000.0,38281.76,41281.76
66061568,2019-12-23,13085.45,27311.48,40396.93
66071528,2019-12-23,8200.0,5250.39,13450.39
69828478,2019-12-23,2000.0,11938.44,13938.44
67022868,2019-12-23,2000.0,5147.94,7147.94
61892418,2019-12-23,10000.0,19903.31,29903.31
67025158,2019-12-23,3000.0,4863.55,7863.55
61870498,2019-12-23,10000.0,53836.01,63836.01
66097668,2019-12-23,12000.0,10376.16,22376.16
69889258,2019-12-23,11000.0,11544.13,22544.129999999997
63068918,2019-12-23,5000.0,48003.46,53003.46
69889908,2019-12-23,12000.0,15677.68,27677.68
63069258,2019-12-23,3656.26,86236.16,89892.42
67072128,2019-12-23,10000.0,3574.08,13574.08
66097908,2019-12-23,1000.0,13582.79,14582.79
67017008,2019-12-23,5961.0,22573.59,28534.59
60815158,2019-12-23,2000.0,14236.61,16236.61
61848478,2019-12-23,17100.0,11182.38,28282.379999999997
62089968,2019-12-23,4000.0,21660.71,25660.71
61833578,2019-12-23,5000.0,13949.7,18949.7
67076688,2019-12-23,8000.0,11711.74,19711.739999999998
66026808,2019-12-23,8343.0,17010.85,25353.85
61803588,2019-12-23,1300.0,10051.5,11351.5
65088918,2019-12-23,3977.89,23382.84,27360.73
67012008,2019-12-23,5000.0,22250.51,27250.51
65018998,2019-12-23,2400.0,23053.48,25453.48
60829258,2019-12-23,5800.0,10018.1,15818.1
63068228,2019-12-23,8000.0,5238.54,13238.54
67015528,2019-12-23,10000.0,24472.34,34472.34
62887428,2019-12-23,9000.0,6515.85,15515.85
66097188,2019-12-23,3670.43,8704.09,12374.52
61888788,2019-12-23,4000.0,9691.12,13691.12
63000158,2019-12-23,2000.0,9968.93,11968.93
67001078,2019-12-23,180000.0,4522.61,184522.61
68841408,2019-12-23,5000.0,7599.9,12599.9
67068518,2019-12-23,3000.0,3756.83,6756.83
63012908,2019-12-23,8300.0,11014.16,19314.16
60821468,2019-12-23,18800.0,4981.19,23781.19
67007008,2019-12-23,4000.0,9485.67,13485.67
60809918,2019-12-23,4000.0,15457.67,19457.67
67069768,2019-12-23,2824.0,19990.11,22814.11
61824318,2019-12-23,8000.0,10004.51,18004.510000000002
60002588,2019-12-23,20000.0,325182.62,345182.62
65018668,2019-12-23,7000.0,10372.58,17372.58
67021858,2019-12-23,9908.78,8595.5,18504.28
66082558,2019-12-23,7000.0,13764.33,20764.33
66092518,2019-12-23,1801.64,17230.71,19032.35
63086778,2019-12-23,3000.0,3967.76,6967.76
65022668,2019-12-23,2000.0,20038.61,22038.61
66029088,2019-12-23,7532.95,3636.46,11169.41
66085198,2019-12-23,5233.54,1122.46,6356.0
67822388,2019-12-23,12000.0,213126.18,225126.18
67017868,2019-12-23,31000.0,170076.25,201076.25
67025118,2019-12-23,1900.0,16994.77,18894.77
67010198,2019-12-23,5956.0,19989.5,25945.5
61804288,2019-12-23,5000.0,15399.29,20399.29
61879488,2019-12-23,2000.0,3087.96,5087.96
61843298,2019-12-23,6200.0,35532.61,41732.61
67009518,2019-12-23,2000.0,8272.79,10272.79
63088788,2019-12-23,15000.0,19436.03,34436.03
61806918,2019-12-23,6000.0,14952.9,20952.9
69886328,2019-12-23,7500.0,41854.67,49354.67
61805198,2019-12-23,4000.0,15189.91,19189.91
66072258,2019-12-23,10000.0,24196.98,34196.979999999996
61896268,2019-12-23,13000.0,15432.71,28432.71
66089288,2019-12-23,7000.0,15557.92,22557.92
61805268,2019-12-23,9000.0,15411.42,24411.42
63091678,2019-12-23,7000.0,11158.06,18158.059999999998
61805358,2019-12-23,9000.0,15268.19,24268.190000000002
61875968,2019-12-23,15000.0,8608.42,23608.42
66080208,2019-12-23,4000.0,6434.91,10434.91
67087998,2019-12-23,10000.0,19884.05,29884.05
61857078,2019-12-23,5200.0,21447.37,26647.37
65056628,2019-12-23,9300.0,18198.63,27498.63
65018138,2019-12-23,3480.0,30002.75,33482.75
61805808,2019-12-23,7000.0,14800.61,21800.61
69888788,2019-12-23,14000.0,14930.51,28930.510000000002
66097558,2019-12-23,24000.0,27390.22,51390.22
61805378,2019-12-23,3000.0,15321.02,18321.02
67022298,2019-12-23,3853.21,12348.63,16201.84
65019268,2019-12-23,5000.0,7119.57,12119.57
66079188,2019-12-23,6000.0,15784.21,21784.21
67025058,2019-12-23,6439.91,18111.75,24551.66
61831868,2019-12-23,2780.33,8689.93,11470.26
61891178,2019-12-23,3299.27,13671.5,16970.77
61805978,2019-12-23,9000.0,14703.05,23703.05
69820028,2019-12-23,5000.0,10565.37,15565.37
67025528,2019-12-23,4000.0,5874.2,9874.2
67809308,2019-12-23,8000.0,12944.53,20944.53
66020818,2019-12-23,4068.0,8782.53,12850.53
67019628,2019-12-23,11000.0,10061.18,21061.18
61867398,2019-12-23,7000.0,18305.51,25305.51
61806388,2019-12-23,9000.0,14903.97,23903.97
69853618,2019-12-23,3000.0,16219.44,19219.440000000002
66068818,2019-12-23,5835.08,39364.23,45199.310000000005
69869008,2019-12-23,4591.05,5061.22,9652.27
67028908,2019-12-23,10000.0,11755.14,21755.14
62052178,2019-12-23,8549.0,15482.02,24031.02
69841578,2019-12-23,6000.0,35585.37,41585.37
62026088,2019-12-23,1604.0,15000.2,16604.2
67069178,2019-12-23,5000.0,17897.23,22897.23
61827208,2019-12-23,3000.0,19510.38,22510.38
61821318,2019-12-23,10000.0,10865.88,20865.879999999997
63008558,2019-12-23,11900.0,420.14,12320.14
69876458,2019-12-23,3000.0,10608.86,13608.86
63021278,2019-12-23,13000.0,27351.78,40351.78
61828588,2019-12-23,5000.0,9996.71,14996.71
61850328,2019-12-23,4000.0,5043.85,9043.85
67092658,2019-12-23,1500.0,8426.2,9926.2
61804998,2019-12-23,8000.0,15040.87,23040.870000000003
65006158,2019-12-23,9000.0,10474.6,19474.6
69890808,2019-12-23,1600.0,7932.44,9532.439999999999
67016298,2019-12-23,11956.18,5366.19,17322.37
67001118,2019-12-23,4500.0,660.69,5160.6900000000005
63071168,2019-12-23,10000.0,23888.45,33888.45
60820688,2019-12-23,14000.0,20051.39,34051.39
66090558,2019-12-23,10544.0,8687.62,19231.620000000003
66079188,2019-12-23,10000.0,15784.21,25784.21
62092688,2019-12-23,7985.24,0.0,7985.24
66020238,2019-12-23,16000.0,10176.04,26176.04
61805528,2019-12-23,1000.0,14613.55,15613.55
66020088,2019-12-23,15000.0,10766.32,25766.32
66079568,2019-12-23,20000.0,41163.11,61163.11
67057688,2019-12-23,2000.0,20827.47,22827.47
60008888,2019-12-23,5000.0,17848.42,22848.42
67096068,2019-12-23,50.0,9940.0,9990.0
67096068,2019-12-23,10.0,9940.0,9950.0
66079288,2019-12-23,3000.0,834.71,3834.71
61858088,2019-12-23,6375.68,0.0,6375.68
67011708,2019-12-23,5800.0,6251.45,12051.45
66085788,2019-12-23,5000.0,12072.28,17072.28
62096278,2019-12-23,7976.24,0.0,7976.24
63007728,2019-12-23,10000.0,16128.69,26128.690000000002
62080208,2019-12-23,7985.24,0.0,7985.24
69849208,2019-12-23,4000.0,13649.16,17649.16
67075138,2019-12-23,10020.01,0.0,10020.01
62088598,2019-12-23,10000.0,21192.47,31192.47
61835118,2019-12-23,3400.0,158.41,3558.41
60817358,2019-12-23,3000.0,19428.26,22428.26
61887378,2019-12-23,10010.0,11022.7,21032.7
62088238,2019-12-23,4000.0,5775.66,9775.66
67855798,2019-12-23,5100.0,10482.77,15582.77
60820358,2019-12-23,10000.0,10508.6,20508.6
61801828,2019-12-23,4600.0,20036.4,24636.4
66097708,2019-12-23,5000.0,3010.37,8010.37
61821098,2019-12-23,4600.0,20007.03,24607.03
61824308,2019-12-23,5000.0,31221.23,36221.229999999996
65021198,2019-12-23,20000.0,13330.21,33330.21
60819178,2019-12-23,7000.0,18755.57,25755.57
67017528,2019-12-23,10000.0,18189.73,28189.73
67069918,2019-12-23,9700.0,6895.18,16595.18
67021008,2019-12-23,10000.0,24395.07,34395.07
61880868,2019-12-23,31000.0,9790.25,40790.25
61824478,2019-12-23,8000.0,5454.09,13454.09
61846058,2019-12-23,18000.0,5805.83,23805.83
65022828,2019-12-23,1000.0,5916.15,6916.15
67000928,2019-12-23,8385.06,6882.72,15267.779999999999
66010078,2019-12-23,19961.05,18826.02,38787.07
66052908,2019-12-23,3877.86,10000.0,13877.86
62080928,2019-12-23,4000.0,12651.89,16651.89
67855718,2019-12-23,10000.0,20958.17,30958.17
63090118,2019-12-23,13013.23,12998.14,26011.37
