funds_account,stat_time_day,total_deposit_amount,total_withdraw_amount,assets_start,assets_end,in,out,rate,pro_in,pro_ot
60006538,2019-02-26,33940.0,12000.0,0.0,23724.8,33940.0,35724.8,1.0525869180907486,0.0,0.0
60006568,2019-09-19,37500.0,44472.0,0.0,0.0,37500.0,44472.0,1.18592,0.0,0.0
60007038,2018-12-12,0.0,15010.0,22428.7,11786.39,22428.7,26796.39,1.1947366543758666,0.0,0.0
60007728,2019-04-30,29968.0,18268.0,0.0,16286.27,29968.0,34554.270000000004,1.1530389081687134,0.0,0.0
60008008,2018-12-24,0.0,21960.0,9875.42,4120.51,9875.42,38240.51,3.872292013909282,0.0,12160.0
60008078,2019-06-12,35000.0,11845.0,0.0,29149.96,35000.0,40994.96,1.1712845714285713,0.0,0.0
60008118,2018-12-14,45340.0,46431.0,11002.45,21689.63,56342.45,68120.63,1.2090462874795116,0.0,0.0
60008228,2019-03-15,20150.0,23312.0,0.0,0.0,20150.0,23312.0,1.156923076923077,0.0,0.0
60008718,2019-08-07,64195.0,47372.0,0.0,30174.84,64195.0,77546.84,1.2079887841732222,0.0,0.0
60008778,2019-02-26,20000.0,8339.0,0.0,8721.54,20000.0,17060.54,0.8530270000000001,0.0,0.0
60008888,2019-08-02,32976.0,21551.0,0.0,17848.42,32976.0,39399.42,1.1947907569141194,0.0,0.0
60008918,2019-02-22,69541.0,60100.0,0.0,14994.08,69541.0,75094.08,1.079853323938396,0.0,0.0
60009168,2018-12-11,21600.0,42000.0,27878.52,25502.39,49478.520000000004,67502.39,1.364276659851588,0.0,0.0
60010088,2019-12-06,20800.0,1000.0,0.0,20943.38,20800.0,21943.38,1.0549701923076924,0.0,0.0
60010288,2019-01-29,43319.0,45478.0,39104.03,39471.42,82423.03,84949.42,1.0306515060171897,0.0,0.0
60010518,2019-03-08,35000.0,1000.0,0.0,23016.27,35000.0,24016.27,0.6861791428571429,0.0,0.0
60010538,2019-07-29,80001.0,29680.0,0.0,49428.67,80001.0,79108.67,0.9888460144248197,0.0,0.0
60010588,2019-01-15,0.0,5200.0,20100.17,30884.81,20100.17,36084.81,1.7952489954065065,0.0,0.0
60010658,2019-10-08,17400.0,20000.0,0.0,4219.05,17400.0,24219.05,1.3918994252873562,0.0,0.0
60010718,2019-11-19,12000.0,6000.0,0.0,6929.09,12000.0,12929.09,1.0774241666666666,0.0,0.0
60012108,2019-08-22,21200.0,1000.0,0.0,31838.54,21200.0,32838.54,1.5489877358490567,0.0,0.0
60012188,2019-04-30,15500.0,14641.0,0.0,0.0,15500.0,14641.0,0.9445806451612904,0.0,0.0
60012218,2019-02-20,62596.0,25000.0,0.0,29406.04,62596.0,54406.04,0.8691616077704646,0.0,0.0
60012728,2019-02-15,20150.0,28700.0,0.0,1907.26,20150.0,30607.26,1.5189707196029776,0.0,0.0
60012758,2019-03-15,40000.0,20002.0,0.0,23497.7,40000.0,43499.7,1.0874925,0.0,0.0
60012968,2019-03-28,40000.0,15000.0,0.0,33401.02,40000.0,48401.02,1.2100255,0.0,0.0
60012988,2019-02-15,85000.0,15000.0,0.0,90588.58,85000.0,105588.58,1.242218588235294,0.0,0.0
60015118,2019-01-23,1000.0,1000.0,2075.0,8893.92,3075.0,9893.92,3.2175349593495937,0.0,0.0
60015158,2018-12-13,6130.0,4300.0,6606.41,17200.92,12736.41,21500.92,1.6881460317310764,0.0,0.0
60016138,2018-12-13,118100.0,72000.0,20321.9,64856.73,138421.9,136856.73,0.9886927574321694,0.0,0.0
60016668,2019-01-08,0.0,1010.0,21506.42,27114.99,21506.42,28124.99,1.3077485699619,0.0,0.0
60016678,2018-12-14,15600.0,4626.0,9717.24,27482.32,25317.239999999998,32108.32,1.2682393499449387,0.0,0.0
60016768,2019-08-12,49274.0,47084.0,0.0,4011.8,49274.0,51095.8,1.0369728457198524,0.0,0.0
