account,is_real_out
66019918,True
66020858,False
62096038,False
65006928,False
61805598,True
69852028,True
67020598,False
67000188,True
67050078,False
65009138,False
60820678,False
60820108,True
60800058,True
62051118,False
66090708,False
69818608,False
66098538,False
65020008,True
67025658,False
61835288,True
66021668,False
69872398,True
61878468,True
67001208,False
62081878,True
65018128,True
69844068,False
61807808,False
67011108,False
67067508,True
67001688,True
61887958,True
67025198,False
60802098,False
60812388,False
66077228,False
66091228,True
61870068,False
33333333,True
62087938,True
61897928,False
60816818,False
66099508,True
67057278,True
65020778,False
61854188,False
66096168,True
63089068,True
67026098,False
67008658,True
69809658,False
61897828,True
69832298,True
67077828,True
61888798,False
67020798,True
60005058,True
65019568,True
66091128,True
60806758,False
67009888,True
67065508,True
61804988,True
61877228,True
67855718,True
67005598,True
63000958,False
68831678,True
66098828,True
63018858,False
66069038,True
60000198,True
69824278,True
67028298,False
60006568,True
61855498,False
66022028,False
67012078,True
66071128,False
61820188,False
61823018,False
60818068,False
62075528,True
67028178,False
66018018,False
69869998,True
63095698,False
67005768,False
67079678,False
61811000,True
60814998,True
62096118,True
61806418,False
69897988,True
62096868,False
60822478,True
61834678,True
61843918,False
62091178,True
65025918,True
63089698,False
63086588,True
65027798,False
67028158,False
61834078,True
61826068,False
67062838,True
61857328,False
69847188,True
67006518,True
90788888,False
65022888,True
61828858,True
67052078,False
65050078,False
65025818,False
66052228,False
66079618,False
67061778,True
63061558,True
67018758,True
67077168,False
69851428,True
68841288,True
66070078,False
69869408,False
67022218,False
65022868,True
66097118,True
61853898,True
66062638,False
69853288,False
60811318,False
62887428,False
63022988,False
63056258,False
61801418,True
65025228,True
61851188,True
67005238,True
67051108,True
67028058,False
66020698,False
60828508,True
65009818,False
67061798,True
66092778,True
62089528,False
66092178,False
67077118,True
67002588,False
62021168,False
63086738,True
62890808,True
66077078,False
63078788,False
60016768,False
67002638,False
67052678,True
67001238,False
66079098,False
67005718,False
62067128,False
60820278,False
67005728,False
61827208,True
62089818,True
67026928,True
61822618,True
66096128,True
66070028,True
61826718,False
69864818,True
69844108,False
61841228,False
61826278,False
61833578,True
65022158,False
61833408,True
65021138,False
66061608,True
66098808,True
66089058,True
61855688,False
61821098,False
61849178,False
69864398,True
67067688,True
60820418,False
67050518,True
67010138,False
65019138,False
66096088,True
67002118,False
67055598,False
63071178,False
61820828,True
61891298,False
67000178,True
61801828,False
61888788,False
63098218,True
69897588,False
61820888,False
67026208,False
67060678,True
66072978,False
60018678,True
67058898,True
60811618,False
67025898,True
66051038,True
67007918,True
67020158,True
67012958,False
61849588,True
60801558,False
60818398,False
66029768,False
69875468,True
66085188,False
61823468,False
61832778,False
67009588,False
66019558,False
67058838,True
67007868,True
67853488,True
63086818,True
61849688,False
61882908,True
60008918,False
61873198,False
66029268,False
61895208,True
66086988,True
63068678,True
66085018,True
65029818,True
67062758,True
67856058,False
67810658,False
67066678,False
67055978,False
62079258,False
67025638,True
66020638,False
68844168,True
66080708,True
66068818,False
67020868,True
65009938,True
69842398,False
69855818,False
66893718,True
67065828,False
66050228,True
61825208,True
66028918,False
65019538,False
67856698,False
63069258,False
69830858,False
60002868,False
67016588,True
61834918,False
66888728,True
63099278,True
61871798,True
65016128,False
61874918,True
69886708,False
69828598,True
67026668,False
69827968,False
63091678,False
61807098,True
62075028,False
67012838,True
67060888,True
67065038,False
67012118,True
67000218,True
67018818,False
63091618,False
66061878,False
61859528,True
62092668,False
69892828,False
65052508,False
60085268,False
69828108,False
67050718,False
67810458,True
67006668,True
67029808,False
61822308,False
69859918,False
61866918,True
66019818,False
67012968,True
61891488,False
61890928,True
67012028,True
61828508,True
67058888,True
62088238,False
60820118,True
67062568,True
67071558,True
67058688,True
67028028,False
66075688,False
66027008,False
65089218,False
61824508,False
63025278,True
65057228,True
67012568,True
67001798,False
61808098,False
60827768,False
66029938,False
61802908,True
67072058,True
66055038,False
63089578,True
62070628,True
66079568,True
67022298,False
69880858,False
66099768,True
61804598,True
67051618,True
61824398,False
66072078,True
67005508,True
67071038,True
69892228,False
61829028,True
61849918,True
67000958,False
61867398,False
66079288,False
66097588,True
66066128,False
66066298,False
66052998,True
67028258,True
67017058,False
67017668,False
61858678,True
61821128,False
67020078,True
69852688,False
61824478,False
60812668,False
61849278,False
65060528,True
66066888,True
67022958,True
69830228,False
66029088,False
90788881,False
69828888,False
67057868,False
66076838,False
61894758,False
67065298,False
60826618,False
61851298,False
61868788,False
67068538,True
65020018,False
61854688,False
61829668,True
61855288,False
67007608,True
61804228,True
66081998,False
61844758,True
61850158,True
69873168,False
69898808,False
66078818,False
67021688,True
61874428,False
69839678,False
66026258,False
66095118,True
69841578,False
67008788,False
72788881,False
61840328,False
69850478,False
68841058,False
67010028,False
67025758,False
60827108,False
63068918,False
61822468,False
66098788,True
67062538,True
61802788,True
63087678,False
61881908,False
66029028,False
67002568,True
61831768,False
60829208,True
61891768,False
61867888,False
61867758,False
63060138,True
61848978,False
67000618,True
65011818,False
62088788,True
67008678,True
62097068,False
60812128,True
61824968,False
67000928,True
61879628,False
61831078,False
67000058,True
63077038,True
66080978,False
61832758,False
66051288,True
61804308,True
67056168,False
60830328,True
61860368,False
61803378,False
61824028,False
66089738,False
61826218,False
66068828,False
63088788,True
66089608,False
69839168,False
61869058,False
61831778,True
67062598,True
69872168,False
67029918,True
67029788,True
61831868,False
63025038,False
61831328,True
61824818,False
67015628,True
67000818,True
63009638,False
65056628,True
63001288,True
61827858,False
66081778,False
66028558,True
65018228,False
62075208,False
67066288,True
66090828,False
66091288,True
63008078,True
61894858,True
66070668,False
67029898,True
66077988,True
67018728,True
69843018,True
67029288,True
69848758,True
67025878,False
67016668,False
63079688,False
61841988,True
69896178,False
69884808,False
61841558,True
61855788,False
61840688,False
61835118,False
63025288,True
61812578,True
61824858,True
69835198,True
66097228,False
67069738,True
63081278,True
65016998,False
67016298,True
61879488,True
67055968,False
61807668,True
61874688,False
69890528,True
61854378,False
66089998,False
65082578,True
61805428,True
60818368,True
67022668,True
67061628,False
69832828,False
60813178,False
67059268,True
66082858,False
66016728,True
66099118,False
67060228,True
66667878,True
62098978,False
61835808,True
67000688,True
69861888,False
62069828,True
69802588,False
61842828,False
67022868,True
67015808,True
60829258,False
61822358,False
65022618,False
67016658,False
69802568,False
67000538,True
67000288,False
62099718,False
66096788,False
60815208,True
65009128,False
61848688,False
66098008,False
61847368,True
67069078,False
66025798,False
67057288,True
60806488,False
67815518,False
63071738,True
67028538,False
61822328,False
61841488,False
60828418,False
65060678,False
62092888,False
67027908,True
61812998,True
66097888,True
60852078,True
67056618,True
20081218,True
88881129,False
88880008,True
20171101,False
20070608,False
63055038,False
61869198,False
67008888,False
69859658,False
67026988,True
67058778,False
61891018,True
62088068,True
63077058,False
61896858,True
66067218,False
61872468,True
67015778,True
65019268,True
67060838,False
67066528,False
67066228,False
67026008,False
67026158,True
61855578,True
61823568,True
66089168,True
66008638,False
66029298,True
62089878,True
60824208,True
61827658,True
61840798,False
61828698,False
61862598,True
61855718,True
61824198,True
69886568,True
69869218,False
65019058,True
63069118,True
67051678,True
67058968,False
60801478,False
60808508,True
61887988,True
67017998,True
61821458,True
63067598,False
67065078,True
61852108,True
67012008,False
61882108,False
66050258,True
66069678,True
61866688,True
67008008,False
65018918,True
66026538,True
61830918,True
61853058,True
69851118,False
67056658,True
60805878,False
63090968,True
60009168,False
61830688,True
67067288,False
66021688,False
61830618,True
66025838,True
60822658,True
67028728,True
66052908,False
66099898,False
60829918,True
60827928,True
67028808,False
61846618,True
61830598,True
60089218,True
60822988,False
61848398,False
60827958,True
65052678,False
62015878,True
61876508,True
69824798,True
60822728,False
66052218,True
60816768,True
67066608,False
67009908,True
61859198,False
66069698,False
61850178,False
69853618,False
69858358,True
66069728,True
63076738,True
61864688,False
61859558,False
61813358,False
65025018,False
66069538,False
67006628,True
67065578,False
62080898,False
61891178,False
66017888,False
67029878,False
61827028,False
63068228,False
67016918,True
67007968,True
67061678,False
63022928,False
67009198,False
62092978,False
61849858,False
65017798,False
66021628,False
67021868,False
66081108,False
66071518,True
60017528,False
62081028,False
62089508,False
67050878,False
69855618,False
65025868,False
62068878,False
66061568,False
65017298,True
61870858,True
61812188,False
61860688,True
60817978,False
61812088,False
61847398,False
62079998,False
62021628,False
61861808,False
69838258,False
66075978,True
61803008,False
67066138,True
67011608,True
60821178,False
61806228,False
61807608,False
61866078,True
67017538,True
61811088,False
61829888,False
61802828,False
62080008,False
60825528,False
69862488,True
60821328,False
60012218,True
67062708,True
67025288,False
61825128,True
63091698,False
61831428,False
65001678,True
67022598,True
66050038,False
66097018,True
61857178,False
63089268,True
65018578,False
63077828,True
61860258,True
61825118,True
61824708,True
67010018,True
67029618,False
67025238,True
66028768,True
66078558,True
67020678,True
67025228,True
60812618,True
61825008,True
60005558,False
62069768,False
66072758,False
61895488,False
61826728,True
61826758,True
69861468,False
63090758,True
67022828,True
67018858,True
67021608,True
67050228,False
61822588,True
67005088,True
62089568,True
61879178,False
62085508,False
61827088,True
60008718,False
67008038,True
67059168,False
66090558,False
66069768,False
65018218,False
61883428,False
65058128,True
61830428,True
67000118,True
66019718,False
65088638,True
61856488,False
66079128,True
65008938,True
63086778,False
67011798,True
66091298,False
61805828,False
61889968,False
69814328,True
66085078,False
67029188,True
66052578,False
66080688,False
61834458,False
61842658,False
66099058,True
67052108,True
69889408,False
65055138,False
65058628,True
66027768,False
67810278,False
61813268,False
61876498,True
67056508,False
69811618,False
61865988,False
61892818,True
69869008,False
67002098,False
69846068,False
67029118,True
66085978,True
61852888,True
67008068,False
63021868,False
66051118,False
63067968,False
65059288,False
67026568,True
62071618,False
69890808,False
61800858,False
63005268,False
65052768,False
60812978,True
67056838,True
62091838,True
62092618,False
69870888,False
61883668,True
60818518,False
62081228,True
63057058,True
66076818,True
63082678,False
61828988,False
67061288,True
61813558,False
63096538,False
65060258,False
67055088,False
65002268,False
65018598,True
67017268,True
61825928,True
69835268,True
61835998,False
62088058,True
62052998,False
61897158,False
61805888,True
60016138,True
62080888,False
60002588,False
60008888,False
65018528,False
62080928,True
66029958,True
66066188,True
67006658,True
61823488,True
65020528,True
61807958,True
67057788,False
61812108,False
60800098,False
67018218,True
66081578,False
69838318,False
66098938,True
66068908,False
61854318,False
68841408,True
62095508,False
66072658,False
69834178,True
67012108,True
63066758,True
66062288,False
69825288,True
67028198,False
60807578,False
65021868,True
63000158,False
69824728,False
61373066,False
66068688,False
67055838,True
66092058,True
60800918,False
69890108,False
67015298,False
69884888,False
67059888,False
59352575,False
66020678,True
60016858,True
61875288,False
66082298,True
61891058,False
61846588,True
66068018,True
67002698,True
65009168,True
67027298,True
69860608,False
67015978,True
63087988,False
61852318,True
62076128,False
66075698,False
62077178,False
63067628,True
69871608,True
65026868,True
61882298,False
66087508,True
69874398,True
63097858,True
65026728,False
63068798,True
63001178,True
63080938,True
65021708,True
61824368,True
67028608,True
66018708,False
63067508,False
69843578,True
66051958,False
67019698,True
63069628,False
66055208,False
67055758,False
60803878,False
62079298,False
61885118,True
67018508,True
63009628,False
63089858,True
54458866,False
65022268,False
60002738,True
67057798,True
61895878,True
66026818,False
67817988,False
60830098,False
69895718,False
66020658,False
66081528,True
61803078,False
67007198,True
61807178,False
69801028,False
67007178,False
62088598,True
62022828,True
61801658,False
61827128,True
61826988,True
61881898,True
61845178,False
61827108,True
61869108,True
63000118,False
61820928,True
61830488,True
67022658,True
66076708,False
61822768,True
67009698,True
63080638,True
69848688,False
66090568,False
61872828,False
63078868,False
62051618,True
69809768,True
61857878,True
63076178,True
69820808,False
67001658,False
67001118,False
60821458,False
63021658,True
60010518,True
60010718,False
65025858,False
67018158,False
61825998,False
66069868,False
66061978,False
61803588,True
65020898,True
69860618,False
62061678,True
67028238,False
67012898,True
60815008,False
62082808,True
61829428,True
61808308,False
60817198,False
67002678,True
67017558,True
65021578,False
60012108,True
69869688,True
61828598,False
66051838,True
61855468,True
66079778,True
60821958,True
60016668,True
63091508,True
66025268,True
61812558,True
65011078,False
66092728,False
65025158,False
61823088,False
67001578,False
60801868,False
67812398,False
61854898,False
61804898,True
68680209,False
66099658,False
66099168,False
61810618,False
63081578,False
65059908,True
61860298,True
63025198,False
61812478,False
61849028,True
65021068,False
69895618,False
68844788,False
61851778,False
69851718,True
62072788,False
66079528,True
61846968,False
67000298,False
69857778,False
61866618,False
63065618,False
67027568,True
61849388,True
69884998,True
66077908,True
63022118,False
66088578,True
66092508,False
61860188,False
67029258,False
69869078,True
61812678,False
67029998,True
61872658,True
67027858,False
61841308,False
61860328,False
63095598,False
66062098,False
61861388,True
63066788,False
65010208,True
61841868,True
60814858,False
67016278,False
61825518,False
69823068,False
69845618,False
60806478,True
60848968,False
66077598,True
66091908,True
63062038,True
61880668,False
65018868,True
66096678,True
66080278,True
62888188,False
60845788,False
69821378,False
61832568,False
66062168,False
66892398,False
61825458,True
61824728,True
66077028,False
61825508,False
88888881,False
63092008,False
66052018,True
65027578,True
63068028,False
61879278,False
65025208,False
60829828,False
68841368,True
65009118,True
67055108,True
61812258,True
62089668,True
66085198,False
69857108,True
63060268,True
69852128,False
61884908,True
66077818,True
67008108,True
61868068,True
67853118,True
63061208,True
61841798,True
60809918,True
66086788,False
61844628,True
61841828,True
61813188,False
66095818,True
61842728,True
66097508,True
66069918,True
67017078,False
63061878,False
66022588,True
63077858,False
60816828,False
62088638,False
66077098,False
63071608,False
61891168,True
61842428,True
67006608,False
69849208,False
69842428,True
63088208,False
66098858,True
65022178,True
68842898,False
69890928,False
65020138,False
61829598,False
67855728,False
69815268,False
66072638,False
69816458,False
60829528,False
60829308,False
66025228,False
63059158,True
61856698,True
66028238,False
66079108,True
66081168,True
69815368,False
61859578,False
60821268,True
66052978,False
69887898,True
62082588,True
61859888,True
61891718,False
61832498,False
61882088,True
62090658,False
67020108,False
63050618,False
61842208,True
63002558,True
66087908,False
62099018,True
66088098,False
65060718,False
61832308,False
61846688,True
61820118,False
60815388,True
69848828,True
61860398,True
61822628,True
65021898,True
63081818,True
61851328,True
61876568,True
66069958,False
60826968,False
61852688,True
61824318,False
62001008,False
62076638,False
65010178,False
67016078,True
66078258,True
69885668,False
62082598,True
69836668,False
61820858,True
61821028,True
67026298,False
67028908,False
67052958,False
66081658,True
69871508,False
