,account,tran_stocks_all,tran_stocks_ipo,ipo_rate
191,61854898,78,78,1.0
192,61806358,152,120,0.7894736842105263
193,67057108,0,0,
194,66071128,50,32,0.64
195,65027798,45,44,0.9777777777777777
196,69822618,18,18,1.0
197,61804158,64,58,0.90625
198,61843268,37,37,1.0
199,63009538,18,6,0.3333333333333333
225,68840078,36,36,1.0
227,62095088,31,31,1.0
229,67096068,0,0,
242,63080968,19,9,0.47368421052631576
245,65019538,8,8,1.0
253,66096788,4,2,0.5
254,69843758,14,13,0.9285714285714286
281,63092008,12,12,1.0
283,66098538,20,20,1.0
284,66098278,14,14,1.0
287,63025198,39,35,0.8974358974358975
288,66080688,29,7,0.2413793103448276
304,63018798,53,6,0.11320754716981132
317,61871478,23,20,0.8695652173913043
319,60089968,40,35,0.875
324,61822298,64,64,1.0
326,67006898,7,7,1.0
327,66098088,21,0,0.0
328,62021168,46,46,1.0
329,67011058,5,5,1.0
330,60018138,25,25,1.0
331,67001088,17,17,1.0
332,67021758,4,4,1.0
333,61860498,52,51,0.9807692307692307
334,66097058,18,18,1.0
335,67844488,37,37,1.0
336,61848988,33,33,1.0
337,67008538,4,4,1.0
338,66055988,18,17,0.9444444444444444
339,66061508,15,15,1.0
340,61802828,79,74,0.9367088607594937
341,69813468,64,51,0.796875
342,61853978,40,40,1.0
343,66087908,11,11,1.0
344,66077298,12,12,1.0
345,65059508,47,38,0.8085106382978723
346,66061238,13,13,1.0
347,61887958,80,80,1.0
349,66061568,22,19,0.8636363636363636
350,66071528,20,20,1.0
351,69828478,28,27,0.9642857142857143
352,67022868,10,9,0.9
353,61892418,55,5,0.09090909090909091
354,67025158,2,2,1.0
355,61870498,75,54,0.72
356,66097668,5,5,1.0
357,69889258,18,16,0.8888888888888888
358,63068918,218,5,0.022935779816513763
359,69889908,29,29,1.0
360,63069258,28,20,0.7142857142857143
361,67072128,2,1,0.5
362,66097908,13,13,1.0
363,67017008,7,7,1.0
364,60815158,47,47,1.0
365,61848478,58,57,0.9827586206896551
366,62089968,12,12,1.0
367,61833578,77,74,0.961038961038961
368,67076688,2,2,1.0
369,66026808,4,4,1.0
370,61803588,11,11,1.0
371,65088918,26,22,0.8461538461538461
372,67012008,4,4,1.0
373,65018998,35,35,1.0
374,60829258,83,65,0.7831325301204819
376,63068228,40,40,1.0
377,67015528,17,17,1.0
378,62887428,55,55,1.0
379,66097188,15,15,1.0
380,61888788,32,18,0.5625
381,63000158,38,38,1.0
382,67001078,4,3,0.75
383,68841408,30,28,0.9333333333333333
384,67068518,1,1,1.0
385,63012908,17,17,1.0
386,60821468,13,11,0.8461538461538461
387,67007008,7,6,0.8571428571428571
388,60809918,14,14,1.0
389,67069768,2,2,1.0
390,61824318,45,45,1.0
391,65018668,51,49,0.9607843137254902
392,67021858,13,13,1.0
393,66082558,13,13,1.0
394,66092518,12,12,1.0
395,63086778,29,28,0.9655172413793104
396,65022668,21,21,1.0
397,66029088,20,19,0.95
398,66085198,7,7,1.0
399,67822388,102,58,0.5686274509803921
400,67017868,10,4,0.4
401,67025118,11,8,0.7272727272727273
402,67010198,6,6,1.0
403,61804288,72,72,1.0
404,61879488,54,51,0.9444444444444444
405,61843298,60,59,0.9833333333333333
406,67009518,9,9,1.0
