account,is_real_out
69841598,True
66080688,False
63018798,False
61892418,False
63068918,False
60816828,False
66079098,False
69863808,True
69885458,False
62079298,False
66091858,True
67005768,False
61844898,True
60000988,False
66081758,True
61825828,True
60001668,True
65089628,True
62081588,False
69824278,True
65050288,True
65009818,False
61833798,True
67813018,False
61856028,True
61808308,False
61808098,False
66020858,False
61804988,True
69812568,False
61882908,True
66029268,False
69830228,False
63068028,False
66016728,True
63068828,False
67028808,False
66667878,True
61847368,True
65052678,False
62091838,True
66021598,False
65020528,True
65022268,False
62077178,False
61801658,False
63000118,False
66099168,False
67000298,False
62061678,True
61829428,True
60801868,False
67812398,False
61841308,False
69871508,False
62072788,False
61872658,True
60806478,True
88888881,False
60829828,False
61812258,True
66097508,True
61848168,True
66893278,False
67007068,True
19880818,False
61824018,False
60878568,False
93287320,False
62070158,True
69828588,False
63001638,False
67809698,True
63086218,False
66021228,False
66080038,False
12260609,False
63022618,True
61847428,False
61829228,True
67809918,False
66067658,False
61800088,True
65026998,False
60822758,True
61873258,True
69845278,False
61833928,False
61842618,False
66019518,False
63019028,True
61853278,True
62079818,False
60008778,True
61828798,True
63059108,False
69838678,False
61872178,False
61816858,True
63071298,False
61800908,True
65017628,False
60826558,False
68844068,True
63090088,True
61853918,True
63059858,False
61813008,True
60080788,True
67810018,True
66076898,True
61896718,True
62078008,True
65085198,True
62086968,True
61827988,True
63018988,False
66852708,False
61825728,True
61886788,True
61852788,False
68844018,True
65017118,True
