account,is_real_out
61882008,False
63066908,True
61823268,False
61824708,True
61891458,False
61825118,True
61826758,True
61855788,False
61825128,True
61826728,True
66069638,False
67068658,True
66077868,True
60826968,False
67058908,True
61840128,True
67021988,True
67011208,True
62837298,True
67017768,True
61868978,True
67020838,True
61803268,True
61816666,True
60008008,True
67020618,True
66021668,False
61849188,True
66092178,False
63075578,False
65075608,True
65007608,False
67006958,True
61831418,True
61826408,True
60815668,True
67028108,True
69884808,False
67066678,False
69828888,False
63085838,True
63088208,False
67052078,False
61841688,False
61848718,False
66075888,True
67020088,True
63092918,True
61825698,False
66025218,False
61804618,True
61804298,True
67018818,False
65020008,True
66052788,True
63029718,True
61850678,True
66087218,True
66096228,True
67809328,True
63091788,True
67006188,True
63088538,False
61896678,False
67057818,True
62082038,False
61879258,True
61849968,True
67055978,False
63022988,False
67020518,True
63022118,False
61888978,True
67051108,True
65000758,True
66069168,False
66018018,False
63077038,True
66022968,True
61840008,True
67026098,False
61803078,False
61873168,False
67020678,True
63072108,True
61879278,False
66078038,True
63067598,False
61824658,True
63020578,True
60010658,True
61802958,True
65018288,True
61829358,True
61891768,False
61805558,True
61829328,True
61881908,False
61847088,True
61881808,True
60002588,False
61858678,True
69828788,False
69828828,False
69828558,False
69828818,False
61807178,False
69828728,False
66099698,True
61865988,False
67055968,False
66061978,False
61804528,True
67066228,False
66070678,True
60818128,True
67065028,True
66080588,True
65025158,False
66021688,False
60817018,True
62890808,True
61802778,True
66080708,True
62846668,True
61824028,False
60802098,False
66069698,False
61803378,False
61847778,True
60812388,False
67020798,True
67061228,True
69843578,True
61877028,True
67077168,False
66076818,True
65018218,False
61881008,True
60811618,False
61825688,False
66029928,True
67022658,True
66066128,False
65027678,True
61884608,True
60826628,True
66081998,False
67010508,True
61854898,False
61806358,True
65027798,False
69822618,False
61804158,True
61843268,True
68840078,False
62095088,True
65019538,False
69843758,False
63092008,False
66098538,False
66098278,False
63025198,False
61871478,False
60089968,False
61822298,True
67006898,True
62021168,False
67011058,True
60018138,True
67001088,True
67021758,True
61860498,True
66097058,True
67844488,True
61848988,True
67008538,False
66055988,True
66061508,True
61802828,False
69813468,False
61853978,True
66087908,False
66077298,True
65059508,False
66061238,False
61887958,True
66061568,False
